timestamp,Infrared to Red Signal Ratio
01/26/24 06:24:30,0
01/26/24 06:25:30,0
01/26/24 06:26:30,0
01/26/24 06:27:30,0
01/26/24 06:28:30,0
01/26/24 06:29:30,0
01/26/24 06:30:30,0
01/26/24 06:31:30,0
01/26/24 06:32:30,0
01/26/24 06:33:30,0
01/26/24 06:34:30,0
01/26/24 06:35:30,0
01/26/24 06:36:30,0
01/26/24 06:37:30,0
01/26/24 06:38:30,0
01/26/24 06:39:30,0
01/26/24 06:40:30,0
01/26/24 06:41:30,0
01/26/24 06:42:30,0
01/26/24 06:43:30,0
01/26/24 06:44:30,0
01/26/24 06:45:30,0
01/26/24 06:46:30,0
01/26/24 06:47:30,0
01/26/24 06:48:30,0
01/26/24 06:49:30,0
01/26/24 06:50:30,0
01/26/24 06:51:30,0
01/26/24 06:52:30,0
01/26/24 06:53:30,0
01/26/24 06:54:30,0
01/26/24 06:55:30,0
01/26/24 06:56:30,0
01/26/24 06:57:30,0
01/26/24 06:58:30,0
01/26/24 06:59:30,0
01/26/24 07:00:30,0
01/26/24 07:01:30,0
01/26/24 07:02:30,0
01/26/24 07:03:30,0
01/26/24 07:04:30,0
01/26/24 07:05:30,0
01/26/24 07:06:30,0
01/26/24 07:07:30,0
01/26/24 07:08:30,0
01/26/24 07:09:30,0
01/26/24 07:10:30,0
01/26/24 07:11:30,0
01/26/24 07:12:30,0
01/26/24 07:13:30,0
01/26/24 07:14:30,0
01/26/24 07:15:30,0
01/26/24 07:16:30,0
01/26/24 07:17:30,0
01/26/24 07:18:30,0
01/26/24 07:19:30,0
01/26/24 07:20:30,0
01/26/24 07:21:30,0
01/26/24 07:22:30,0
01/26/24 07:23:30,0
01/26/24 07:24:30,0
01/26/24 07:25:30,0
01/26/24 07:26:30,0
01/26/24 07:27:30,0
01/26/24 07:28:30,0
01/26/24 07:29:30,0
01/26/24 07:30:30,0
01/26/24 07:31:30,0
01/26/24 07:32:30,0
01/26/24 07:33:30,0
01/26/24 07:34:30,0
01/26/24 07:35:30,0
01/26/24 07:36:30,0
01/26/24 07:37:30,0
01/26/24 07:38:30,0
01/26/24 07:39:30,0
01/26/24 07:40:30,0
01/26/24 07:41:30,0
01/26/24 07:42:30,0
01/26/24 07:43:30,0
01/26/24 07:44:30,0
01/26/24 07:45:30,0
01/26/24 07:46:30,0
01/26/24 07:47:30,0
01/26/24 07:48:30,0
01/26/24 07:49:30,0
01/26/24 07:50:30,0
01/26/24 07:51:30,0
01/26/24 07:52:30,0
01/26/24 07:53:30,0
01/26/24 07:54:30,0
01/26/24 07:55:30,0
01/26/24 07:56:30,0
01/26/24 07:57:30,0
01/26/24 07:58:30,0
01/26/24 07:59:30,0
01/26/24 08:00:30,0
01/26/24 08:01:30,0
01/26/24 08:02:30,0
01/26/24 08:03:30,0
01/26/24 08:04:30,0
01/26/24 08:05:30,0
01/26/24 08:06:30,0
01/26/24 08:07:30,0
01/26/24 08:08:30,0
01/26/24 08:09:30,0
01/26/24 08:10:30,0
01/26/24 08:11:30,0
01/26/24 08:12:30,0
01/26/24 08:13:30,0
01/26/24 08:14:30,0
01/26/24 08:15:30,0
01/26/24 08:16:32,0
01/26/24 08:17:32,0
01/26/24 08:18:32,0
01/26/24 08:19:32,0
01/26/24 08:20:32,0
01/26/24 08:21:32,0
01/26/24 08:22:32,0
01/26/24 08:23:32,0
01/26/24 08:24:32,0
01/26/24 08:25:32,0
01/26/24 08:26:32,0
01/26/24 08:27:32,0
01/26/24 08:28:32,0
